"ID","Bezeichner","Gehäuse","Stückzahl","Bezeichnung","Anbieter und Referenz",
1,"D17","LED_3mm_C1A2_GND_FIX",1,"OUT2",,,
2,"DISP1","MC096Gx",1,"MC096xx",,,
3,"OUT6,OUT3","PJ301M-12_SMD_no_ground",2,"PJ301M-12",,,
4,"CLK1,OUT4,RST1,OUT1,OUT2,OUT5","PJ301M-12_SMD_SIGNAL_ISOLATOR",6,"PJ301M-12",,,
5,"D22","LED_3mm_C1A2_GND_FIX",1,"CLK",,,
6,"D14","LED_3mm_C1A2_GND_FIX",1,"OUT1",,,
7,"ENCODER1","ROTENC-12MM-BUT",1,"RotaryEncoder_Switch",,,
8,"D18","LED_3mm_C1A2_GND_FIX",1,"OUT5",,,
9,"D15","LED_3mm_C1A2_GND_FIX",1,"OUT4",,,
10,"D20","LED_3mm_C1A2_GND_FIX",1,"OUT6",,,
11,"D19","LED_3mm_C1A2_GND_FIX",1,"OUT3",,,
12,"R7,R6,R17,R5,R9,R3,R4,R8","R_0805_2012Metric",8,"470",,,
13,"R18,R16,R13,R15,R14,R10,R11","R_0805_2012Metric",7,"1K",,,
14,"D6,D1,D4,D2,D5,D3,D7,D21","SOT-23W BAV99",8,"BAV99",,,
15,"C6,C1,C4,C2","C_0805",4,"100n",,,
16,"R19,R12","R_0805_2012Metric",2,"100K",,,
17,"A1","Arduino_Nano",1,"Arduino Nano",,,
18,"R1,R2","R_0805_2012Metric",2,"3.3K",,,
19,"J1","Pins_2x05_2.54mm_TH_Europower",1,"EURO_PWR_2x5",,,
20,"U1","SOT89-3",1,"L7805",,,
21,"C3,C5","CP_Radial_P2.5mm",2,"10u",,,

